Contenu,Titre de la vidéo,Heure de publication de la vidéo,Clics sur des éléments d'écran de fin,Vues provenant de la playlist,Durée de visionnage de la playlist (heures),Commentaires ajoutés,Partages,Je n'aime pas,J'aime,"% ""J'aime"" (%)",Nombre d'abonnés perdus,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
StRusIxAv7g,Analyser ses conversations WhatsApp avec R partie 4,"Aug 31, 2023",0,3,0.323,0,0,0,3,100,0,20.48,0:03:32,82,4.8417,1,2409,2.74
Tj1dygTcjpM,Raccourcis rapides dans Vim,"Sep 2, 2023",0,,,1,1,0,5,100,0,45.52,0:00:26,63,0.47,0,1124,2.58
UiCZjM2XhQs,Terminal 3: Commandes usuelles (bash),"May 11, 2022",0,30,3.3389,1,0,0,3,100,0,33.55,0:06:11,61,6.2934,0,778,4.88
Vf4mpujHQMQ,LM Studio - Merci pour les +900 abonnements,"Feb 24, 2024",0,,,1,2,1,15,93.75,0,19.6,0:05:42,145,13.7846,2,3976,1.43
XPRQ7RPPoN0,nushell commandes personnalisées et shell de login,"May 25, 2023",0,10,1.6945,3,1,0,10,100,0,17.7,0:04:53,285,23.2293,4,5113,3.32
XiaTv74vmLA,Terminal 5: Commandes spéciales,"May 25, 2022",0,19,1.3021,0,0,0,2,100,0,30.1,0:04:06,33,2.2571,1,701,3.71
YKz_xm-7hIA,Markdown simplifié: Maîtrisez la synthaxe de base en 12 minutes,"Jun 1, 2023",0,4,0.1123,1,2,0,4,100,0,23.4,0:02:54,106,5.1408,1,4478,1.54
ZOqEFhBg8Uw,Hygiène de code 1: Introduction (old),"Aug 4, 2022",0,3,0.0427,0,0,0,0,,0,10.32,0:00:36,9,0.0908,0,137,3.65
ZYwrrmju4Vs,La rédaction universelle avec markdown partie 1,"Sep 7, 2023",0,10,1.5218,0,0,0,6,100,0,19.67,0:08:10,122,16.6354,0,3182,2.29
aMmaEsG3YCQ,Injection de Dépendances,"Oct 19, 2023",0,2,0.0016,3,1,0,10,100,0,8.71,0:02:14,53,1.977,1,1866,2.25
aVyTa_2Ye7c,Guide complet des meilleures ressources francophones pour apprendre R,"Apr 20, 2023",0,10,0.205,0,7,0,17,100,0,27.06,0:03:52,230,14.8855,8,5898,2.63
awCITBzFitA,2. Responsabilité unique (old),"Jul 27, 2022",0,,,0,1,0,1,100,0,7.13,0:02:09,7,0.2516,0,109,0.92
dBtF841dBAc,Introduction au Web scraping avec R partie 1,"Jun 22, 2023",0,50,3.4128,1,5,0,8,100,0,18.18,0:04:17,213,15.2453,6,4439,2.07
dIWyU7N1xjk,La programmation expliquée à mon chat partie 2,"Jul 27, 2023",0,4,0.0574,0,0,0,2,100,0,26.84,0:03:19,37,2.0555,0,1988,1.31
eo7ZDCFhnTg,programmation fonctionnelle 2,"Nov 30, 2023",0,3,0.0057,2,2,0,10,100,0,9.99,0:02:13,261,9.7109,6,7115,2.71
fZrQCqO2WtU,Changer de thème sur RStudio,"Oct 13, 2022",0,,,0,0,0,7,100,0,117.38,0:00:34,71,0.6714,1,1723,2.32
g12qvo5KZ5g,Un moment calme avec Vim: Marquage en 1 minute,"Jun 10, 2023",0,,,1,0,0,4,100,0,32.95,0:00:20,107,0.5974,1,530,2.83
gZhPCIcYjus,Vous avez dit sans souris? partie 2,"Nov 30, 2023",0,2,0.0728,0,0,0,5,100,0,5.95,0:01:36,417,11.1805,0,10309,3.29
h1Cp5ScamBs,La rédaction universelle avec markdown partie 2,"Sep 14, 2023",0,7,0.2504,0,2,0,1,100,0,14.07,0:04:16,91,6.4832,0,3311,1.87
hPLFSaCIvRg,La programmation expliquée à mon chat partie 1,"Jul 20, 2023",0,8,0.6699,0,0,0,2,100,0,14.76,0:04:04,85,5.7732,1,6090,0.84
iF3ELn5p6ho,Introduction au Web scraping avec R partie 4,"Jul 13, 2023",0,8,0.186,0,2,0,5,100,0,9.58,0:03:47,68,4.2918,2,2037,2.06
itzsORjVrmc,Rust tier-list (S),"Jun 2, 2023",0,,,0,0,0,0,,0,25.65,0:00:15,21,0.0898,0,305,0.66
j5WdFuJ_RM4,Nushell: installation + bases,"May 4, 2023",0,10,0.8839,3,3,0,14,100,0,18.13,0:02:58,459,22.8207,6,5691,3.64
jfo1tuMHIMs,Merci pour les +50 abonnées et bonne année!,"Dec 31, 2022",0,,,0,0,0,4,100,0,6.58,0:01:42,62,1.765,0,2339,1.28
k-OlS5-9B7M,Hygiène de code 6: documentation de votre projet,"Sep 7, 2022",0,7,0.3973,0,2,0,2,100,0,24.57,0:03:35,48,2.8696,0,1156,2.6
k2GKyKFBJSU,Base R - 4. Fonctions et packages (1),"Nov 9, 2022",0,61,2.627,1,1,0,2,100,0,23.43,0:02:30,151,6.3195,0,2893,3.28
kePMqo2N5nA,RStudio vs un vrai ignorant,"Dec 14, 2022",0,43,2.8717,3,1,0,7,100,0,13.65,0:02:35,226,9.7709,2,7795,1.87
kmykgoG0A5I,Vous avez dit sans souris? partie 4,"Jan 11, 2024",0,2,0.438,0,0,0,5,100,0,16,0:03:54,45,2.9253,0,2083,1.73
l2fpVX8nBwk,"WeData, le live","Dec 30, 2022",0,,,1,1,0,2,100,0,7.35,0:02:57,37,1.8235,0,576,4.69
lDj_xDsw6pY,La rédaction universelle avec markdown partie 4,"Sep 28, 2023",0,6,0.1324,0,0,0,2,100,0,11.71,0:01:56,37,1.2007,0,2385,1.09
